audit_id,gold_id,system,system_blind
AUD-058,SPOT-096,trivial,System C
AUD-100,SPOT-166,trivial,System C
AUD-064,SPOT-106,trivial,System C
AUD-086,SPOT-138,simple,System B
AUD-010,SPOT-020,trivial,System C
AUD-079,SPOT-129,trivial,System C
AUD-115,SPOT-189,trivial,System C
AUD-025,SPOT-041,trivial,System C
AUD-061,SPOT-098,trivial,System C
AUD-089,SPOT-147,simple,System B
AUD-006,SPOT-012,main,System A
AUD-018,SPOT-033,main,System A
AUD-067,SPOT-107,trivial,System C
AUD-091,SPOT-157,trivial,System C
AUD-055,SPOT-092,trivial,System C
AUD-082,SPOT-135,trivial,System C
AUD-019,SPOT-038,trivial,System C
AUD-070,SPOT-108,trivial,System C
AUD-063,SPOT-098,main,System A
AUD-112,SPOT-183,trivial,System C
AUD-104,SPOT-168,simple,System B
AUD-012,SPOT-020,main,System A
AUD-088,SPOT-147,trivial,System C
AUD-078,SPOT-120,main,System A
AUD-053,SPOT-091,simple,System B
AUD-073,SPOT-112,trivial,System C
AUD-029,SPOT-043,simple,System B
AUD-076,SPOT-120,trivial,System C
AUD-021,SPOT-038,main,System A
AUD-023,SPOT-039,simple,System B
AUD-108,SPOT-171,main,System A
AUD-095,SPOT-163,simple,System B
AUD-118,SPOT-193,trivial,System C
AUD-050,SPOT-080,simple,System B
AUD-081,SPOT-129,main,System A
AUD-047,SPOT-079,simple,System B
AUD-056,SPOT-092,simple,System B
AUD-085,SPOT-138,trivial,System C
AUD-016,SPOT-033,trivial,System C
AUD-083,SPOT-135,simple,System B
AUD-007,SPOT-018,trivial,System C
AUD-080,SPOT-129,simple,System B
AUD-032,SPOT-046,simple,System B
AUD-028,SPOT-043,trivial,System C
AUD-030,SPOT-043,main,System A
AUD-098,SPOT-165,simple,System B
AUD-101,SPOT-166,simple,System B
AUD-102,SPOT-166,main,System A
AUD-059,SPOT-096,simple,System B
AUD-049,SPOT-080,trivial,System C
AUD-015,SPOT-028,main,System A
AUD-024,SPOT-039,main,System A
AUD-057,SPOT-092,main,System A
AUD-062,SPOT-098,simple,System B
AUD-105,SPOT-168,main,System A
AUD-075,SPOT-112,main,System A
AUD-048,SPOT-079,main,System A
AUD-107,SPOT-171,simple,System B
AUD-042,SPOT-068,main,System A
AUD-009,SPOT-018,main,System A
AUD-039,SPOT-061,main,System A
AUD-046,SPOT-079,trivial,System C
AUD-026,SPOT-041,simple,System B
AUD-003,SPOT-008,main,System A
AUD-109,SPOT-173,trivial,System C
AUD-096,SPOT-163,main,System A
AUD-099,SPOT-165,main,System A
AUD-040,SPOT-068,trivial,System C
AUD-093,SPOT-157,main,System A
AUD-034,SPOT-047,trivial,System C
AUD-072,SPOT-108,main,System A
AUD-097,SPOT-165,trivial,System C
AUD-111,SPOT-173,main,System A
AUD-002,SPOT-008,simple,System B
AUD-017,SPOT-033,simple,System B
AUD-008,SPOT-018,simple,System B
AUD-114,SPOT-183,main,System A
AUD-033,SPOT-046,main,System A
AUD-035,SPOT-047,simple,System B
AUD-041,SPOT-068,simple,System B
AUD-051,SPOT-080,main,System A
AUD-011,SPOT-020,simple,System B
AUD-071,SPOT-108,simple,System B
AUD-005,SPOT-012,simple,System B
AUD-065,SPOT-106,simple,System B
AUD-069,SPOT-107,main,System A
AUD-117,SPOT-189,main,System A
AUD-113,SPOT-183,simple,System B
AUD-004,SPOT-012,trivial,System C
AUD-110,SPOT-173,simple,System B
AUD-031,SPOT-046,trivial,System C
AUD-054,SPOT-091,main,System A
AUD-043,SPOT-071,trivial,System C
AUD-001,SPOT-008,trivial,System C
AUD-119,SPOT-193,simple,System B
AUD-027,SPOT-041,main,System A
AUD-013,SPOT-028,trivial,System C
AUD-077,SPOT-120,simple,System B
AUD-052,SPOT-091,trivial,System C
AUD-020,SPOT-038,simple,System B
AUD-045,SPOT-071,main,System A
AUD-087,SPOT-138,main,System A
AUD-044,SPOT-071,simple,System B
AUD-084,SPOT-135,main,System A
AUD-094,SPOT-163,trivial,System C
AUD-074,SPOT-112,simple,System B
AUD-106,SPOT-171,trivial,System C
AUD-037,SPOT-061,trivial,System C
AUD-092,SPOT-157,simple,System B
AUD-066,SPOT-106,main,System A
AUD-036,SPOT-047,main,System A
AUD-060,SPOT-096,main,System A
AUD-090,SPOT-147,main,System A
AUD-120,SPOT-193,main,System A
AUD-068,SPOT-107,simple,System B
AUD-022,SPOT-039,trivial,System C
AUD-038,SPOT-061,simple,System B
AUD-116,SPOT-189,simple,System B
AUD-103,SPOT-168,trivial,System C
AUD-014,SPOT-028,simple,System B
