gold_id,model,changed,confidence,old_intent,new_intent,old_should_escalate,new_should_escalate,review_note
SPOT-001,gemini-3.5-flash-lite,True,1.0,content_catalog,content_catalog,false,false,Accurate intent and escalation settings.
SPOT-002,gemini-3.5-flash-lite,True,1.0,product_feedback,account_access,true,true,Intent should be account_access due to social login/integration problem.
SPOT-003,gemini-3.5-flash-lite,True,1.0,billing_subscription,billing_subscription,true,true,Correct billing intent and necessary billing escalation.
SPOT-004,gemini-3.5-flash-lite,True,1.0,other,other,true,true,Appropriate escalation for existing support ticket follow-up.
SPOT-005,gemini-3.5-flash-lite,True,1.0,content_catalog,content_catalog,false,false,Correct draft evaluation.
SPOT-006,gemini-3.5-flash-lite,True,1.0,product_feedback,product_feedback,false,false,Correct product feedback classification.
SPOT-007,gemini-3.5-flash-lite,True,1.0,product_feedback,product_feedback,false,false,Accurate review of recommendations feedback.
SPOT-008,gemini-3.5-flash-lite,True,1.0,other,other,true,true,Correctly escalated due to missing context.
SPOT-009,gemini-3.5-flash-lite,True,1.0,other,other,false,false,Correct evaluation for resolved praise/follow-up.
SPOT-010,gemini-3.5-flash-lite,True,1.0,playback_technical,playback_technical,false,false,Correct intent and escalation logic for technical outage inquiry.
SPOT-011,gemini-3.5-flash-lite,True,0.95,billing_subscription,billing_subscription,true,true,Accurate intent and escalation for account recovery and billing.
SPOT-012,gemini-3.5-flash-lite,True,0.9,account_access,account_access,true,false,Correctly labeled as account access with no escalation required.
SPOT-013,gemini-3.5-flash-lite,True,0.95,playback_technical,playback_technical,false,false,Solid technical troubleshooting label without escalation needed.
SPOT-014,gemini-3.5-flash-lite,True,0.95,billing_subscription,billing_subscription,true,true,Family plan issue correctly routed to billing/subscription.
SPOT-015,gemini-3.5-flash-lite,True,0.98,other,other,false,false,Appreciative feedback properly labeled as other.
SPOT-016,gemini-3.5-flash-lite,True,0.95,product_feedback,product_feedback,false,false,Correct product feedback/availability classification.
SPOT-017,gemini-3.5-flash-lite,True,0.9,billing_subscription,billing_subscription,true,true,Billing query regarding payment methods appropriately escalated.
SPOT-018,gemini-3.5-flash-lite,True,0.95,product_feedback,product_feedback,false,false,Free tier ad complaint appropriately categorized as product feedback.
SPOT-019,gemini-3.5-flash-lite,True,0.85,other,other,true,true,Ticketing/presale query correctly flagged with weak evidence escalation.
SPOT-020,gemini-3.5-flash-lite,True,0.99,other,other,true,true,Vague request correctly flagged for missing context.
SPOT-021,gemini-3.5-flash-lite,False,0.95,device_connectivity,device_connectivity,true,true,Draft assessment is accurate; handles recurring technical drops requiring human support.
SPOT-022,gemini-3.5-flash-lite,False,0.98,device_connectivity,device_connectivity,false,false,Valid draft points addressing deprecated integration directly.
