audit_id,gold_id,agreement_partition,system_blind,message,context,primary_intent,should_escalate,required_reply_points,forbidden_claims,draft_reply,evidence,human_groundedness,human_actionability,human_tone,human_safety,human_accept,human_critical_error,human_notes,annotator
AUD-058,SPOT-096,holdout,System C,@user No on the shuffle of the band,"Hey there! We hear you. Just to check, did this song appear at the end of your playlist?",playlist_library,true,Clarify what no refers to and where the unexpected song appeared; ask for the playlist or artist context and device details needed to reproduce the shuffle behavior,Assume the cause of the shuffle; claim an account fix; state that the behavior is expected without understanding it,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-100,SPOT-166,holdout,System C,"Dear @user , How do I hide all things Christmas from my experience. I'm bombarded with that perversion everywhere else in life. Please make it go away.",,product_feedback,false,Acknowledge the request to reduce seasonal recommendations and suggest current preference or feedback controls if verified,Treat 'bombarded' as a bomb threat; promise all Christmas content can be hidden,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-064,SPOT-106,holdout,System C,"@user I've linked my Spotify account to @user in the past, then I've deactivated my Facebook for over a year now, yet every time I try to sign in to Spotify, it re-activates my Facebook again!! I want to unlink my account with Facebook, I've stopped using Spotify!",,account_access,true,Route secure help for unlinking Facebook and changing the sign-in method; advise against posting account identifiers or a Facebook profile publicly; use verified account-linking steps,Claim the accounts are unlinked; ask for email password or profile URL publicly; assert why Facebook reactivates,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-086,SPOT-138,holdout,System B,"@user I have read on the <URL> website that they are offering a $0.99 a month introductory rate for the first three months.I cant find any equivalent in GB £ sterling for people in the UK. Does the offer exist to us, How much is it in pounds? thanks",,billing_subscription,true,Acknowledge the UK promotion and GBP-price question; verify current regional eligibility and price through an official source or billing specialist; advise against sharing payment details publicly,Do not quote a 2017 price or say the offer is available; do not claim the account or promotion was checked,"Hi! The Intro Offer isn't available right now. Don't worry, you can check out other offers at  Hope this helps","[{""pair_id"": ""2344108"", ""conversation_id"": ""2344106"", ""message"": ""Yo @user hmu with that three months for $0.99"", ""reply"": ""Hi! The Intro Offer isn't available right now. Don't worry, you can check out other offers at <historical-link> Hope this helps"", ""similarity"": 0.3215, ""quality"": 0.6069, ""weak_intent"": ""other""}]",,,,,,,,
AUD-010,SPOT-020,holdout,System C,@user can I please get some help,,other,true,Ask the customer to describe the issue including the relevant feature error and device; tell them not to post passwords payment details or other sensitive data publicly,Do not guess the problem; do not claim access to the account; do not ask for a password,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-079,SPOT-129,calibration,System C,"@user I'm interested in your company's history but what's up with all these versions of the Spotify company? AB, Limited, Technology S.A, etc. I'd love to get some clarity on this topic!",,other,true,Direct the company-history question to official corporate or press sources; state only verified relationships among the legal entities,Invent the corporate structure; give legal advice; imply the support agent can authoritatively explain unverified entities,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-115,SPOT-189,holdout,System C,@user Spotify is taking out 4.99 out of my account for the student discount. What I didn’t realize is that I had to be in college so I exited out of the webpage. My Spotify still says my subscription is free but I was charged $4.99 yesterday?,,billing_subscription,true,Acknowledge student charge with free status; route secure billing review,Guarantee refund or Premium; request card or account data publicly; blame eligibility,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-025,SPOT-041,holdout,System C,"@user um, my account has been disabled and i didnt do anything wrong. What's up with that?",,account_access,true,Acknowledge that the account appears disabled without presuming wrongdoing; move the case to secure human review for identity and status verification; explain what non-sensitive information may be needed privately,Do not promise reactivation; do not accuse the customer or disclose an unverified reason; do not ask for the password,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-061,SPOT-098,holdout,System C,"@user If you really love students, then why is there only college students only instead for all students? Be specific next time with your stupid ass ads. I'm in high school and today you guys ruined my day trying to listen some music with premium.",,billing_subscription,true,Acknowledge the frustration; provide current verified student-plan eligibility and alternatives; record the separate complaint about misleading ad wording,Insult or scold the customer; promise high-school eligibility or Premium; invent plan rules,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-089,SPOT-147,calibration,System B,@user no it works fine on my MacBook Air and on iPhone,That's odd. Is this also happening on a different device? Keep us in the loop,other,true,Acknowledge that the issue does not occur on the MacBook Air or iPhone; ask which device fails and what behavior or error appears there,Do not assume the failing device or underlying problem; do not claim an account investigation occurred,Thanks! Does logging out > restarting the device > logging back in help? Keep us posted,"[{""pair_id"": ""55248"", ""conversation_id"": ""55246"", ""message"": ""@user Hi guys, I’m using my MacBook Air and also my iPhone 6 SE. Thanks :)"", ""reply"": ""Thanks! Does logging out > restarting the device > logging back in help? Keep us posted"", ""similarity"": 0.5815, ""quality"": 0.3492, ""weak_intent"": ""other""}]",,,,,,,,
AUD-006,SPOT-012,calibration,System A,"@user Hello, I signed up for a new account and my username is a bunch of random letters and numbers. Could you please help me set it to the username I want?",,account_access,true,Explain the difference between an immutable or generated username and an editable display name if applicable; provide the supported self-service option; move any account-specific change or lookup to a secure channel,Do not promise that the login username can be changed; do not claim to have modified the account; do not ask for the password,I’m sorry you’re dealing with this. A support specialist should review it securely—please don’t post account or payment details publicly.,"[{""pair_id"": ""1031952"", ""conversation_id"": ""1031951"", ""message"": ""@user @user I signed up for an account and my username is random letters and numbers. I didn't set my username to that. Any help?"", ""reply"": ""Hey Luis! Can you DM us your account's email address? We'll take a look backstage /JL <historical-link>"", ""similarity"": 0.74, ""quality"": 0.2603, ""weak_intent"": ""account_access""}, {""pair_id"": ""1815535"", ""conversation_id"": ""1815534"", ""message"": ""@user why is my Spotify username a bunch of random numbers and letters when I didn't set it to that?"", ""reply"": ""Hey Brandon! Could you DM us your Spotify account's email address? We'll take a look under the hood /BH <historical-link>"", ""similarity"": 0.6505, ""quality"": 0.2953, ""weak_intent"": ""account_access""}, {""pair_id"": ""1243463"", ""conversation_id"": ""1243461"", ""message"": ""@user how do i change my username? It’s a bunch of letters and numbers."", ""reply"": ""Hey there! Can you DM us your account's email address or username? We'll check backstage /AR <historical-link>"", ""similarity"": 0.599, ""quality"": 0.4539, ""weak_intent"": ""account_access""}]",,,,,,,,
AUD-018,SPOT-033,calibration,System A,@user I am still having issues,,other,true,Ask the customer to restate the issue exact symptom and steps already tried and provide device or account area as relevant; use thread context if it can be recovered,Do not assume which issue persists; do not repeat unverified troubleshooting; do not claim resolution,"Thanks for flagging this. I don’t have enough verified context to resolve it safely here, so I’m escalating it to a support specialist.","[{""pair_id"": ""6492"", ""conversation_id"": ""6492"", ""message"": ""@user @user i am still having payment issues"", ""reply"": ""Hi Sebastian, help's here! Could you DM us your account's username and email address? We'll do some digging 🔍"", ""similarity"": 0.8363, ""quality"": 0.2719, ""weak_intent"": ""billing_subscription""}, {""pair_id"": ""908514"", ""conversation_id"": ""908514"", ""message"": ""@user @user I am also having issues"", ""reply"": ""Hey Varun, help's here! Could you let us know more about what's going on? We'll gladly lend a hand"", ""similarity"": 0.7683, ""quality"": 0.3706, ""weak_intent"": ""other""}, {""pair_id"": ""1231488"", ""conversation_id"": ""1231487"", ""message"": ""@user I'm still having a issue"", ""reply"": ""Hey! We've just sent a DM your way. Check your Messages"", ""similarity"": 0.7376, ""quality"": 0.1669, ""weak_intent"": ""other""}]",,,,,,,,
AUD-067,SPOT-107,calibration,System C,@user Hi can't update payment info with new payment method. Tried canceling account and that didn't work either. HELP!,,billing_subscription,true,Acknowledge both the failed payment-method update and failed cancellation; route secure billing review; warn against posting card or account data,Claim the payment method changed or subscription cancelled; guarantee a refund; request card details publicly,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-091,SPOT-157,holdout,System C,Problems again @user @user still not allowing Paypal subscription keeps looping back to payment screen,,billing_subscription,true,Acknowledge repeated PayPal checkout loop; route billing diagnostics and ask for non-sensitive error details,Ask for PayPal credentials; promise a successful charge; repeat the same failed step,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-055,SPOT-092,holdout,System C,nako spotify,,other,true,Ask what happened and what help they need; offer an appropriate language-support route if needed,Claim a DM was sent; claim the issue is resolved; invent the meaning of the phrase,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-082,SPOT-135,holdout,System C,@user hi. Every time I open the Spotify app on my iPad it redownloads all my songs again. Is there a way to fix this?,,playback_technical,false,"Acknowledge that downloads are repeatedly fetched again; offer current iPad download and offline troubleshooting; ask for app version, iPadOS version, and available storage if it continues",Do not claim a known cause or guaranteed fix; do not reuse the historical link as current without verification,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-019,SPOT-038,holdout,System C,Hey @user.. I’ve been trying to update my payment for my premium account but every time I hit continue the loading wheel just spins endlessly. Help me out here..,,billing_subscription,true,Acknowledge that the payment-update page spins after Continue; suggest a different browser or private window and basic browser checks; if it persists move the account and payment review to a private secure channel,Do not claim the payment method was updated or charged; do not ask for full card details or a password; do not guarantee the browser step will work,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
