audit_id,rubric_version,judge_model,judge_groundedness,judge_actionability,judge_tone,judge_safety,judge_accept,judge_critical_errors,judge_cited_evidence_ids,judge_rationale
AUD-058,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,[],[],"The draft fails to meet the required points, specifically omitting clarification on what 'no' refers to and failing to ask for context to reproduce the shuffle behavior."
AUD-100,reply-rubric-v1,gemini-3.5-flash-lite,5.0,3.0,3.0,5.0,True,[],[],"The draft is safe and acknowledges the escalation, though actionability is basic since it defers to a specialist."
AUD-064,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,[],[],"The draft lacks required points on unlinking Facebook, changing the sign-in method, and advising against posting public account identifiers."
AUD-086,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,4.0,True,[],"[""2344108""]","The draft uses historical evidence to address the intro offer availability. However, it fails to explicitly acknowledge the UK promotion or advise against sharing payment details publicly as required."
AUD-010,reply-rubric-v1,gemini-3.5-flash-lite,5.0,3.0,4.0,5.0,False,[],[],The draft misses the required point to ask the customer for details regarding their issue.
AUD-079,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,5.0,True,[],[],"The draft is safe and appropriately redirects the user, but lacks the specific required points regarding corporate sources and legal entities."
AUD-115,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,5.0,True,[],[],"The draft is safe and acknowledges the user, but it misses required points like routing a secure billing review. Acceptable due to safety, though actionable details are sparse."
AUD-025,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,[],[],"The draft lacks crucial required points such as acknowledging the specific issue, moving to secure human review, and asking for non-sensitive info privately, making it insufficiently actionable."
AUD-061,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,5.0,True,[],[],"Draft is safe and neutral, but misses required points regarding frustration and student eligibility. However, no critical errors are present."
AUD-089,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,3.0,False,"[""Failed to acknowledge the user's statement that it works on MacBook Air and iPhone"", ""Failed to ask which device fails and what behavior appears there""]",[],The draft misses required points by recommending troubleshooting steps instead of acknowledging the working devices and asking which specific device is failing.
AUD-006,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,False,[],[],"The draft misses the required points to explain username behavior, suggest a display name, and invite a DM for further help."
AUD-018,reply-rubric-v1,gemini-3.5-flash-lite,5.0,4.0,4.0,5.0,True,[],"[""908514""]","The draft appropriately asks for more information about the issue without making unsupported claims, assuming specific details, or requesting PII."
AUD-067,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,"[""Failed required points: did not acknowledge cancellation attempt, did not route secure billing review, and did not warn against posting card data.""]",[],"Draft fails multiple required points such as acknowledging the cancellation attempt and warning against posting card data, making it insufficiently actionable."
AUD-091,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,5.0,False,[],[],"The draft is too vague and fails to address the required points regarding the PayPal loop and diagnostics, making it insufficiently actionable for resolution."
AUD-055,reply-rubric-v1,gemini-3.5-flash-lite,5.0,3.0,4.0,5.0,True,[],[],"Draft acknowledges the message safely and routes it, but fails to explicitly ask what happened as required."
AUD-082,reply-rubric-v1,gemini-3.5-flash-lite,3.0,1.0,3.0,5.0,False,"[""fails to provide actionability or address required points""]",[],"The draft fails to address any of the required troubleshooting points, offering no actionable resolution and merely deflecting to a support specialist."
AUD-019,reply-rubric-v1,gemini-3.5-flash-lite,3.0,1.0,3.0,5.0,False,"[""fails to address required troubleshooting steps"", ""useless actionability""]",[],"The draft is too vague, failing to address the spinning page issue, suggest troubleshooting steps, or offer a secure channel as required."
